wdid,icrsra,icrsdec,spectype,teff,logg,Dpc
Gaia DR2 3336501573889129216,05 45 04.72,10 01 20.01,DA,6806.0,8.106,72.38
Gaia DR2 3336517134554252416,05 44 09.44,10 07 38.07,DA,8220.0,8.037,72.99
Gaia DR2 3336580566927314048,05 44 03.28,10 28 27.47,DA,5990.0,8.195,68.15
Gaia DR2 3337943549028544128,05 33 14.75,09 25 59.15,DA,14071.0,7.996,61.61
Gaia DR2 3338064456654920960,05 31 08.97,09 43 56.91,DC:,4383.0,7.916,53.47
Gaia DR2 3338258765268407552,05 32 10.43,10 16 33.07,DB,16755.0,7.299,66.97
Gaia DR2 3338529275192199296,05 21 33.79,09 40 01.82,DA:,5434.0,8.021,89.48
Gaia DR2 3338631946385925248,05 18 06.03,09 32 15.55,DA,8689.0,7.604,73.46
Gaia DR2 3338804466632157824,05 18 43.08,10 09 07.68,CND,,,95.68
Gaia DR2 3339007292168550784,05 29 33.30,10 26 28.77,DA,6984.0,8.348,77.48
Gaia DR2 3339345628215124352,05 27 15.84,11 34 16.23,DA:,5315.0,8.08,71.22
Gaia DR2 3339355661260116224,05 24 48.91,11 17 41.88,DA:,10033.0,8.414,81.77
Gaia DR2 3341137217989866496,05 37 59.71,12 28 17.97,,,,87.14
Gaia DR2 3342121551481066496,05 59 55.72,11 14 00.81,DC:,7030.0,8.212,82.42
Gaia DR2 334226417876341888,02 40 58.64,38 58 20.77,,,,81.73
Gaia DR2 334236695734051456,02 40 07.32,39 02 10.71,DA,8581.0,8.068,82.73
Gaia DR2 334244594178112384,02 40 22.74,39 12 34.77,DC,7342.0,7.992,88.87
Gaia DR2 3342633752100340096,06 03 53.79,12 22 07.77,DA,8198.0,8.034,90.53
Gaia DR2 3342910386649783296,05 54 09.68,11 38 44.16,DC,8308.0,8.33,70.09
Gaia DR2 3343720447543820672,05 56 31.23,13 06 39.55,DA,8340.0,9.156,92.20
Gaia DR2 3345237326915314944,06 10 59.18,14 29 49.00,DC:,8672.0,8.31,98.32
Gaia DR2 3345579721706291712,06 05 49.18,15 13 40.24,B9V,,,45.20
Gaia DR2 3345908063365625600,06 08 54.56,15 26 12.41,DA:,5231.0,7.938,71.85
Gaia DR2 3346485856726656896,05 46 13.45,13 05 31.76,DA,5342.0,8.112,52.40
Gaia DR2 3346603611845335424,05 48 39.70,13 25 48.09,DC,4064.0,7.835,35.42
Gaia DR2 3346787883122375680,05 56 02.41,13 54 38.98,DA,5016.0,7.918,27.37
Gaia DR2 334716353385995648,02 30 33.75,38 34 32.80,DA,5043.0,8.089,64.99
Gaia DR2 334723160910027136,02 30 56.06,38 42 19.13,DAH,20695.0,8.87,92.55
Gaia DR2 3347953532952671360,05 47 00.01,15 01 49.48,DAH,15460.0,8.52,68.92
Gaia DR2 3348375676698493440,05 46 35.59,16 18 22.77,DA:,4003.0,6.881,93.33
Gaia DR2 3349433720417383296,06 04 38.76,17 14 06.52,DA,14554.0,8.037,54.81
Gaia DR2 3349849778193723008,05 52 31.05,16 42 49.35,DBA,11950.0,8.17,40.05
Gaia DR2 335069060394013952,02 37 33.52,39 46 11.21,DA,6527.0,8.064,84.78
Gaia DR2 335110150347517568,02 40 54.63,39 51 43.73,DA,5854.0,7.662,62.52
Gaia DR2 3351477467717441024,06 51 08.77,12 04 39.88,DA:,7343.0,8.429,99.65
Gaia DR2 3351764886930841984,06 48 53.88,12 45 57.78,DA,7991.0,8.509,89.22
Gaia DR2 3351822508211529216,06 38 43.03,11 02 32.45,DA,7875.0,7.879,91.44
Gaia DR2 3352026776855631744,06 42 01.32,12 00 39.59,DA,11897.0,8.451,93.82
Gaia DR2 3352613061365752576,06 46 15.64,13 31 00.67,DA,4345.0,7.752,83.07
Gaia DR2 3354222505874657280,06 52 42.82,14 16 19.89,DC,10241.0,8.057,61.03
Gaia DR2 3354434539820929920,06 46 21.07,14 32 16.14,DC:,10046.0,8.207,47.88
Gaia DR2 3356925685273136384,06 34 54.81,15 02 48.70,DA:,5912.0,8.207,77.61
Gaia DR2 3356949157270746752,06 32 08.99,15 03 06.72,CND,,,96.49
Gaia DR2 3357634835913086720,06 48 20.60,15 46 27.41,DA,5340.0,8.21,74.67
Gaia DR2 3358004306181176320,06 50 33.90,15 56 21.35,DA,5808.0,7.967,48.10
Gaia DR2 335801708801349888,02 45 55.08,39 36 42.20,DA,10674.0,8.479,64.06
Gaia DR2 3358160853443656704,06 52 25.13,16 39 18.04,DA,7697.0,8.187,89.05
Gaia DR2 3359655085449351168,06 44 50.04,18 57 49.16,DA,7015.0,7.939,99.44
Gaia DR2 3359715421151060224,07 07 39.73,14 56 41.27,CND,,,31.93
Gaia DR2 3360183783038606336,07 05 28.58,16 11 53.40,DA,9516.0,7.975,72.04
Gaia DR2 3360357673380278016,07 13 29.61,16 29 44.92,DZ,6128.0,8.267,56.84
Gaia DR2 3360380556966279552,07 13 00.04,16 41 09.36,DA,13011.0,8.345,83.58
Gaia DR2 3361992818968395264,07 20 06.69,17 34 54.01,DA,5760.0,7.939,76.03
Gaia DR2 3362709086369200256,07 28 33.36,19 39 29.40,DA:,4717.0,7.961,51.94
Gaia DR2 3362825802105242752,07 23 34.68,19 20 00.99,CND,,,92.03
Gaia DR2 3363328214498168832,07 15 07.68,19 42 23.68,DA,5637.0,8.065,74.28
Gaia DR2 3364139791515176320,07 16 42.28,21 22 57.19,CND,,,98.72
Gaia DR2 3365023141734246912,07 04 15.11,19 52 08.06,DA,7133.0,8.079,98.90
Gaia DR2 3365090177584636672,07 00 10.42,19 30 29.68,MagneticWD?,10645.0,8.462,97.96
Gaia DR2 3365347776840934784,06 50 17.49,18 44 55.72,DA,5957.0,8.022,88.48
Gaia DR2 3365603722532515200,06 47 55.27,19 03 57.38,DA,6844.0,7.972,98.79
Gaia DR2 33656531962611072,02 48 22.75,16 00 13.17,DA,19369.0,8.75,82.18
Gaia DR2 336619023898043776,02 54 51.11,42 55 12.09,DX,5461.0,8.28,95.69
Gaia DR2 3366672379112835328,07 08 45.90,20 44 50.32,DA,5547.0,7.729,40.14
Gaia DR2 3366876029282753792,07 08 37.12,21 07 18.65,DC:,6554.0,8.144,51.30
Gaia DR2 3366902722502097408,07 08 35.09,21 10 42.27,DA,6842.0,8.004,71.98
Gaia DR2 3367242029213176192,07 14 38.51,22 06 29.08,DA,5162.0,8.119,59.44
Gaia DR2 336814908766225152,02 46 07.48,41 37 23.89,DB,11483.0,8.058,92.85
Gaia DR2 3368276115605334144,07 09 45.18,22 50 17.44,DA:,4985.0,7.984,67.10
Gaia DR2 3368608030677657856,07 08 31.32,23 58 18.91,,,,92.40
Gaia DR2 3368978359936837760,06 20 03.92,15 19 01.17,DA,8675.0,8.038,88.90
Gaia DR2 3369000732425304576,06 19 32.16,15 26 36.37,DA,14084.0,8.004,84.77
Gaia DR2 336905343596671616,02 46 18.11,42 14 55.44,DA:,4192.0,7.783,49.27
Gaia DR2 3369278767129521792,06 26 54.27,16 01 30.44,DA,5950.0,8.267,69.16
Gaia DR2 3369544234764481024,06 25 35.80,16 33 38.67,DA,5308.0,8.189,50.57
Gaia DR2 3369759081913153536,06 27 49.21,17 31 55.38,DA,5717.0,8.242,66.04
Gaia DR2 3370026503756531456,06 20 27.90,17 06 01.57,DA,5274.0,8.214,93.32
Gaia DR2 337017699942083200,02 38 22.75,41 51 45.81,,,,81.92
Gaia DR2 3370182290811242624,06 13 51.05,16 58 46.07,DC:,4713.0,7.939,42.41
Gaia DR2 3370398177342099200,06 22 57.36,17 21 01.18,DA,6307.0,7.995,61.67
Gaia DR2 3370407759412842368,06 22 29.09,17 16 37.24,DA,5902.0,8.061,84.72
Gaia DR2 3370736856987141120,06 18 18.36,18 02 55.93,CND,,,87.66
Gaia DR2 337078070001329664,02 44 19.26,42 13 27.02,DA,5022.0,8.001,69.26
Gaia DR2 3371022420774948096,06 32 12.23,17 28 37.81,,,,91.01
Gaia DR2 3371072689072495488,06 32 47.14,17 52 40.35,CND,,,93.47
Gaia DR2 3371779297090032000,06 41 21.84,19 52 54.74,,,,66.17
Gaia DR2 3371842798183972608,06 37 14.97,19 23 27.52,DA,12604.0,8.203,72.02
