wdid,icrsra,icrsdec,spectype,teff,logg,Dpc
Gaia DR2 4719271861112420224,01 58 17.28,-56 32 48.85,DA,7664.0,7.352,75.15
Gaia DR2 4719575498120375040,01 52 19.64,-55 51 13.31,DA,9454.0,8.012,91.61
Gaia DR2 4719859820691584,02 49 59.05,03 25 59.44,DC,5253.0,7.972,74.79
Gaia DR2 4720889169701441408,03 08 29.54,-62 10 42.92,DA:,4246.0,7.043,60.23
Gaia DR2 4721093923677909376,02 56 21.30,-63 28 40.23,DA,12345.0,8.255,59.91
Gaia DR2 4721806132334885760,02 57 51.20,-61 48 39.63,DA,5184.0,8.011,66.00
Gaia DR2 4721828191286828672,02 53 39.41,-61 52 52.28,DA,5069.0,8.014,54.97
Gaia DR2 4721829664459413120,02 53 41.86,-61 52 15.73,DA,6797.0,8.01,55.13
Gaia DR2 4722026236523505664,03 19 43.42,-63 17 26.96,DA,7048.0,8.012,69.97
Gaia DR2 472222136549511552,04 27 15.02,61 13 05.58,DA,6505.0,7.974,91.76
Gaia DR2 4722261639386486144,03 19 55.05,-61 46 15.45,DA,6185.0,8.215,92.28
Gaia DR2 4722555479573057920,03 18 40.08,-60 59 50.86,DA:,5146.0,8.035,63.51
Gaia DR2 4722873448887695616,03 22 22.37,-61 02 25.64,DA,7199.0,7.933,71.61
Gaia DR2 4722875196938177024,03 22 19.13,-60 55 36.48,DA,6720.0,8.419,57.35
Gaia DR2 4723004183397284096,03 22 18.27,-59 51 58.13,DA,4104.0,7.577,84.09
Gaia DR2 4723118914857785472,03 26 46.95,-59 27 00.98,DA,6333.0,8.441,31.12
Gaia DR2 4723176772361988864,03 09 14.28,-61 32 15.86,DA,5680.0,8.065,54.46
Gaia DR2 4724998079014114176,02 54 42.38,-60 53 14.87,DA,4457.0,8.038,63.61
Gaia DR2 4725152392894633984,02 45 28.09,-60 38 56.11,DA,5883.0,7.98,35.61
Gaia DR2 4725208704209795712,02 43 00.38,-60 34 18.66,DA,5599.0,8.201,33.49
Gaia DR2 4725491965892902400,02 28 55.37,-61 12 55.85,DA,8274.0,8.095,98.56
Gaia DR2 4726103229934678272,02 42 08.53,-59 03 22.32,DA,5118.0,8.068,94.37
Gaia DR2 4728183437213956736,02 51 54.91,-56 29 42.23,DA:,4879.0,7.999,66.27
Gaia DR2 4728567849673508224,02 57 53.77,-55 33 33.00,DA:,4889.0,7.878,76.92
Gaia DR2 4729008650754991616,03 35 20.22,-59 03 59.79,DA:,4978.0,8.011,83.00
Gaia DR2 4729108809392699392,03 33 31.15,-58 54 05.98,DA,5507.0,8.218,79.70
Gaia DR2 4729527074782795264,03 46 53.06,-57 26 59.54,DA,5403.0,7.985,58.48
Gaia DR2 4729712376852843776,03 33 46.11,-57 31 44.24,DZ:,4565.0,7.934,83.30
Gaia DR2 4730307311427012352,03 20 25.77,-56 59 32.93,DA:,4069.0,7.896,63.06
Gaia DR2 4730524881584955648,03 33 05.13,-56 38 33.36,DA,4636.0,7.776,95.89
Gaia DR2 4731155790805760256,03 46 32.53,-56 21 53.00,DC:,5103.0,7.998,53.95
Gaia DR2 4731776877436482048,03 58 24.75,-54 30 48.75,DA,6324.0,7.914,65.80
Gaia DR2 4731934799090578944,03 49 17.85,-54 18 25.85,DB,10775.0,8.076,99.89
Gaia DR2 4731978534741759744,03 45 59.67,-54 07 35.75,DA,5680.0,8.186,91.40
Gaia DR2 4732283894032319232,03 37 19.06,-54 44 29.95,DC:,5471.0,8.044,42.15
Gaia DR2 4733604373137759616,03 13 18.48,-56 07 39.48,DA,10988.0,7.994,34.84
Gaia DR2 4734256104359136000,03 17 13.37,-53 56 39.02,DA:,4810.0,7.85,65.99
Gaia DR2 4734511603373194240,03 05 05.70,-54 54 08.82,DA,9163.0,7.917,82.22
Gaia DR2 4735502022831834240,03 14 30.89,-51 55 15.74,DA,5642.0,8.038,70.83
Gaia DR2 4735565008528213632,03 29 43.41,-53 46 01.87,DB,13045.0,8.325,92.97
Gaia DR2 4735583528426051584,03 31 52.37,-53 37 53.43,DA,9176.0,8.085,91.30
Gaia DR2 4736275391822599936,03 39 53.26,-51 32 03.49,DA,7788.0,8.433,91.52
Gaia DR2 4736287353306665472,03 40 11.20,-51 18 35.07,DA,6610.0,8.378,98.88
Gaia DR2 4736803711456129024,03 24 34.61,-51 52 30.65,DA:,5315.0,8.06,63.13
Gaia DR2 4737542716412668544,03 25 36.12,-49 59 06.21,DA,5689.0,8.129,91.44
Gaia DR2 4739039564054834560,02 17 54.36,-57 46 12.49,DA,4809.0,8.027,60.32
Gaia DR2 4740973192691804032,02 46 21.67,-54 25 39.62,DA,5585.0,8.115,65.08
Gaia DR2 4740985596557469952,02 46 12.58,-54 08 27.61,DA,5214.0,8.119,99.48
Gaia DR2 4741021678578345856,02 48 56.39,-53 43 18.84,DZ:,4802.0,7.845,89.60
Gaia DR2 4741117370449721216,02 49 18.20,-53 34 36.42,DA,11466.0,8.065,81.19
Gaia DR2 4742785222214182784,02 12 16.76,-55 22 12.04,DC:,4439.0,7.848,50.34
Gaia DR2 4742788731201664512,02 11 14.33,-55 17 24.47,DA,5468.0,8.069,86.99
Gaia DR2 4743314675717225728,02 25 21.75,-53 44 19.99,DA,7415.0,8.15,65.21
Gaia DR2 4743560966323037440,02 10 56.03,-54 53 02.30,DA,4208.0,7.817,80.89
Gaia DR2 4745205698279549312,02 37 21.68,-51 48 41.41,DA,9870.0,7.958,76.68
Gaia DR2 4745497103220803456,02 35 25.84,-51 04 38.91,DA,8622.0,8.178,84.82
Gaia DR2 4745623684494995200,02 37 06.49,-50 20 45.09,DA,5090.0,8.163,94.73
Gaia DR2 4746130078319284480,02 27 19.18,-50 43 26.08,DA,,,58.56
Gaia DR2 474620003906690816,03 56 18.05,61 03 21.85,,,,77.42
Gaia DR2 4746481922041465728,02 36 31.62,-49 33 14.34,DC,6622.0,8.162,46.24
Gaia DR2 4746562323828029312,02 31 49.30,-49 41 40.90,DA:,6109.0,8.38,93.25
Gaia DR2 4747143273989752960,02 57 56.39,-52 34 10.67,DA,6992.0,7.886,92.63
Gaia DR2 4747341259096980096,02 59 11.90,-51 40 35.61,DA,4248.0,7.789,93.59
Gaia DR2 4751010634341773696,03 15 32.04,-46 00 39.05,DC,,,80.32
Gaia DR2 4752496452507297152,02 38 55.34,-49 09 11.25,DA,5688.0,8.184,69.33
Gaia DR2 4752515114141784832,02 37 57.56,-48 55 12.72,DA,9101.0,8.383,68.88
Gaia DR2 4753335006218914560,02 45 30.04,-46 24 08.85,DA,12285.0,8.052,98.18
Gaia DR2 4753383625248745216,02 45 14.75,-46 16 02.59,DC,6390.0,8.11,60.03
Gaia DR2 4753586480847281408,03 01 41.07,-47 35 20.65,DA:,4859.0,7.769,86.82
Gaia DR2 4753684818419119872,03 00 21.89,-46 45 44.43,,,,97.74
Gaia DR2 4754644142314191872,03 06 22.60,-43 56 31.36,DZ,5988.0,8.225,89.22
Gaia DR2 4755647382251174016,02 56 01.25,-43 03 57.66,DC:,4728.0,7.96,66.79
Gaia DR2 4756806130072828800,05 46 33.20,-63 05 05.04,DA,6526.0,7.948,89.77
Gaia DR2 4756807607541574656,05 46 33.51,-63 04 28.46,DZ,8480.0,7.948,89.71
Gaia DR2 4757030391786232576,05 29 33.75,-63 56 55.37,DA,5204.0,8.086,71.19
Gaia DR2 4757031800535537408,05 29 49.39,-63 54 00.29,DA,5660.0,8.016,56.68
Gaia DR2 4757227895862048512,05 26 01.80,-63 53 37.01,,,,97.21
Gaia DR2 4757608945361047040,05 34 41.75,-62 23 12.17,DA,7409.0,8.433,64.53
Gaia DR2 4758217971718493824,05 56 16.68,-62 17 25.09,DZ:,4714.0,7.964,71.32
Gaia DR2 4759004981524354944,05 45 28.09,-60 17 15.06,DA:,5068.0,8.03,91.80
Gaia DR2 4759454643124395264,05 35 19.85,-59 52 04.59,DA,9922.0,7.901,98.72
Gaia DR2 4760287179586093824,05 29 12.66,-57 36 15.07,DA,5366.0,8.01,65.88
Gaia DR2 4760625008829501312,05 11 31.63,-62 07 13.40,DA,9104.0,7.976,87.88
Gaia DR2 4760728908382394752,05 12 06.34,-61 47 23.98,DA,5284.0,7.304,99.04
Gaia DR2 476126540995266688,04 33 17.42,63 48 09.41,DA:,4833.0,7.844,72.68
Gaia DR2 4761535056563994752,04 56 52.32,-60 52 59.09,CND,,,97.70
Gaia DR2 4762484042473288704,04 58 33.61,-57 57 01.75,DA,15426.0,8.11,98.84
Gaia DR2 4762934803585423744,05 08 56.40,-58 44 31.98,DA:,8140.0,8.491,88.68
Gaia DR2 4763181953183611520,05 24 11.14,-58 04 11.71,DA,5687.0,7.98,41.73
Gaia DR2 4764278033133291264,05 08 11.26,-56 47 13.52,DA,7233.0,8.276,69.78
Gaia DR2 4764526385320444032,05 06 41.44,-55 11 26.99,DA:,5158.0,7.958,97.44
Gaia DR2 4764526419681780864,05 06 40.38,-55 10 50.02,DA,9000.0,7.973,97.85
Gaia DR2 476487417030663040,04 12 07.73,63 27 23.93,DA,5392.0,8.142,89.61
Gaia DR2 4765505496131187712,05 53 43.67,-57 40 34.11,DA,6381.0,8.37,92.80
Gaia DR2 4765593701874729344,05 55 45.79,-57 26 32.44,DA:,6075.0,8.14,43.74
Gaia DR2 4767225652008399104,05 56 35.54,-56 10 05.99,DA:,23010.0,8.313,76.31
Gaia DR2 4767443905066482560,05 45 01.89,-55 38 50.82,DZ,6871.0,8.086,48.57
Gaia DR2 4767664765168582144,05 58 12.12,-55 14 42.29,DA,7633.0,7.979,68.89
Gaia DR2 4767805506952137600,05 58 09.40,-54 28 02.88,DA,4850.0,7.922,39.61
Gaia DR2 4768450851558100352,05 39 11.46,-54 03 08.46,CND,,,90.94
Gaia DR2 4769136809374612992,05 34 46.73,-52 41 48.68,DA,5979.0,8.05,39.67
Gaia DR2 4769351450366261888,05 27 00.97,-56 46 11.30,DA,9319.0,8.373,99.32
Gaia DR2 4769688626774074112,05 14 01.00,-55 48 13.95,DA:,7436.0,8.343,83.43
Gaia DR2 4769803697537532160,05 18 30.85,-54 49 36.50,DA,5769.0,8.163,76.83
Gaia DR2 4770202919042253696,05 22 08.94,-54 23 40.59,DA,6031.0,7.906,98.96
Gaia DR2 477165132804734208,04 23 17.39,65 08 25.70,DA,7499.0,8.432,66.85
Gaia DR2 4771675130752265344,05 25 27.29,-53 23 16.55,DA,6283.0,8.044,74.53
Gaia DR2 4771781199267697664,05 26 00.66,-52 56 34.11,DC,6828.0,8.211,94.93
Gaia DR2 4771958598593101184,05 19 06.83,-52 31 51.09,DC,5617.0,8.204,75.15
Gaia DR2 4772418885944906112,05 24 22.61,-51 40 53.61,DA,14631.0,8.066,77.87
Gaia DR2 4773032207273095552,05 08 33.61,-51 08 55.02,DZ,6537.0,8.283,85.84
Gaia DR2 4773109207447793408,05 05 48.09,-50 39 03.54,DA,5245.0,8.353,68.18
Gaia DR2 4773299453023467136,05 19 04.20,-50 30 13.51,DA:,5243.0,7.969,59.99
Gaia DR2 4774453871512918400,04 47 13.88,-58 23 14.46,DA,7630.0,7.988,83.51
Gaia DR2 4774537198174454272,04 51 05.68,-57 55 08.25,DA,10221.0,8.646,50.29
Gaia DR2 4775087946124961024,04 34 59.26,-57 58 19.33,DC:,4147.0,8.031,93.76
Gaia DR2 4775127807717312640,04 37 04.03,-57 28 20.20,DA,21712.0,8.186,87.33
Gaia DR2 4775384745544551936,04 28 20.47,-57 01 44.75,DA,5130.0,8.044,94.61
Gaia DR2 4776066855070635520,04 30 09.65,-54 25 30.87,DA:,4639.0,7.801,73.73
Gaia DR2 47762235355241856,04 20 51.04,18 55 23.46,DA:,4712.0,7.821,54.85
Gaia DR2 477633524760785920,04 58 29.79,62 07 42.71,DA,9735.0,7.995,42.81
Gaia DR2 4776336720752166912,04 50 52.19,-55 27 55.84,DQ,8081.0,8.061,99.58
Gaia DR2 4776651043637794048,04 55 41.18,-55 29 23.96,,,,84.27
Gaia DR2 4776747972460494208,04 55 14.39,-54 41 46.27,DA,16528.0,7.819,50.20
Gaia DR2 4777923036857854848,04 44 11.38,-53 01 56.99,DA:,6672.0,7.975,84.48
Gaia DR2 4778054707671023488,04 38 30.80,-53 04 20.72,DA,9725.0,8.038,89.30
Gaia DR2 4779068663549456128,04 29 20.38,-54 24 00.05,DA,6724.0,7.879,72.91
Gaia DR2 4779384257745838720,04 20 31.51,-53 40 30.30,,,,86.88
Gaia DR2 4779746576891819648,04 04 07.19,-54 46 54.44,DA,5525.0,8.333,95.80
Gaia DR2 4780702052496063104,04 26 00.55,-53 05 34.65,DC:,6564.0,7.975,80.70
Gaia DR2 4781653099991148928,04 26 42.02,-50 25 54.79,DAH,17900.0,9.339,78.51
Gaia DR2 4781836679777429760,04 16 16.53,-51 22 15.49,DA,5315.0,7.94,96.56
Gaia DR2 478199390994596480,05 16 22.64,63 46 23.97,DA,4128.0,7.815,60.91
Gaia DR2 478213237968962304,05 14 53.41,63 47 53.19,DA,5630.0,8.216,99.97
Gaia DR2 4782553840532147840,04 18 23.77,-50 04 35.19,DC,4700.0,8.135,23.85
Gaia DR2 4782830054172758272,04 59 19.54,-54 03 19.60,DA,19707.0,9.088,93.12
Gaia DR2 4783039171836521088,04 57 17.18,-52 59 45.96,DA,7097.0,8.406,96.76
Gaia DR2 4783275566835576192,04 53 44.69,-52 10 39.29,DA,5436.0,8.093,51.43
Gaia DR2 4783485088224622080,04 58 04.17,-51 52 06.12,DA:,4995.0,7.997,61.85
Gaia DR2 4783680152756431104,04 56 24.18,-51 36 10.28,DA,6371.0,8.093,58.10
Gaia DR2 4783717050818536960,04 56 03.02,-51 15 36.68,,,,64.83
Gaia DR2 47842813237885056,04 18 52.69,19 13 31.44,DA,6241.0,8.102,80.81
Gaia DR2 4784964034443286656,04 45 20.28,-49 06 03.29,CND,4955.0,,62.06
Gaia DR2 4785276918518079616,05 04 58.18,-49 41 40.90,DA,15752.0,7.96,88.43
Gaia DR2 4785619274654572928,04 57 04.50,-48 25 35.89,DZ:,5717.0,8.114,66.99
Gaia DR2 4787023286579857920,04 54 13.99,-46 14 10.27,DZ,5383.0,8.215,99.60
Gaia DR2 478735922607634560,04 54 16.86,63 35 29.35,DC,4966.0,8.077,49.69
Gaia DR2 4787859426516793216,04 30 59.67,-48 44 13.08,DA,4852.0,7.547,97.67
Gaia DR2 478823780455331968,04 44 54.35,63 24 10.03,CND,,,9.94
Gaia DR2 478852711355785728,04 48 30.49,63 33 10.65,DA,4252.0,7.806,68.42
Gaia DR2 4788748862704008960,04 21 28.58,-48 28 25.48,DA,,,92.49
Gaia DR2 478978296199510912,04 56 19.82,64 09 21.96,,,,22.13
Gaia DR2 4791052889320084096,04 27 39.66,-44 47 08.44,DA,6241.0,8.081,90.78
Gaia DR2 4791274032892472704,04 35 24.71,-44 44 08.20,DA,4767.0,7.806,95.10
Gaia DR2 4791407967151847296,04 37 26.22,-44 08 55.31,DC,7830.0,8.067,85.80
Gaia DR2 479163220314358784,04 58 53.01,64 10 43.47,DC,9990.0,7.973,74.10
Gaia DR2 4791726374551886208,04 33 16.43,-42 52 36.62,,,,86.43
Gaia DR2 4791927653899554304,05 54 08.45,-53 28 56.69,CND,,,91.78
Gaia DR2 4791929307461514112,05 54 09.55,-53 25 55.30,CND,,,97.30
Gaia DR2 4792055064103726976,05 55 16.77,-52 47 52.74,DA:,4672.0,7.937,63.43
Gaia DR2 4792181301784225920,05 49 41.14,-52 30 13.34,DA,7380.0,8.004,75.80
Gaia DR2 4792339077406050688,05 48 02.08,-51 58 05.28,DC,6172.0,7.921,77.94
Gaia DR2 479278256716196480,05 15 00.46,65 06 55.44,,,,93.94
Gaia DR2 4793113859443261568,05 44 42.47,-51 29 38.32,DA,5555.0,8.053,49.30
Gaia DR2 4793606333276798208,05 41 39.90,-50 21 49.60,DA:,6396.0,8.316,66.67
Gaia DR2 479361471706115968,05 01 25.27,64 29 40.56,DA,8018.0,8.372,97.09
Gaia DR2 4793995903990360832,05 38 03.56,-48 57 32.35,DA,5613.0,8.032,91.37
Gaia DR2 479431569873094912,04 59 53.51,64 50 39.04,DA,6940.0,8.161,94.79
Gaia DR2 4794570879852920320,05 50 41.09,-48 43 25.43,DA:,5311.0,8.017,76.57
Gaia DR2 4794599638953519360,05 47 25.62,-48 47 20.83,DZ,8912.0,7.868,46.49
Gaia DR2 4795284467194631040,05 42 01.09,-49 04 06.95,DA,6216.0,8.124,42.47
Gaia DR2 4795556287084999552,05 37 53.41,-47 58 05.29,DA,22758.0,8.134,92.40
Gaia DR2 4795813572805672832,05 46 06.95,-47 29 10.18,DC:,7706.0,7.945,82.58
Gaia DR2 4796180878408926848,05 35 36.44,-46 11 39.21,CND,,,98.73
Gaia DR2 4796198161357225728,05 40 23.55,-46 22 45.62,DA:,4590.0,7.912,90.90
Gaia DR2 4796909128768264960,05 32 47.61,-49 17 14.27,DA,5409.0,8.195,82.64
Gaia DR2 4797786852579814016,05 14 23.77,-48 10 32.34,DA:,3923.0,7.586,53.89
Gaia DR2 4798623787086553600,05 34 25.21,-47 31 40.33,DA,5825.0,8.007,74.28
Gaia DR2 4798695869522955520,05 30 34.65,-47 10 44.09,DA,5452.0,8.137,75.27
Gaia DR2 4798944672685041152,05 24 48.26,-46 41 03.56,DA,8956.0,7.972,54.29
Gaia DR2 4799030327215489280,05 26 50.41,-46 10 36.03,DA,7191.0,7.689,91.00
Gaia DR2 4799131138688551040,05 24 47.32,-45 31 32.90,DA,5714.0,8.157,85.83
Gaia DR2 4799224635833122304,05 31 00.67,-45 57 59.19,DA,10683.0,8.006,86.48
Gaia DR2 4799619871606470400,05 29 27.94,-44 11 10.81,DA,5836.0,8.067,67.62
Gaia DR2 4799638632023763712,05 27 53.82,-43 55 55.15,DA,6813.0,8.013,53.09
Gaia DR2 4799717320121645056,05 21 26.77,-46 20 20.52,DA,8089.0,7.959,79.52
Gaia DR2 4799720751798228352,05 22 52.40,-46 17 31.38,DA,5894.0,8.271,88.02
Gaia DR2 4799975391819749504,05 19 35.57,-44 45 09.55,DA,5640.0,7.743,67.40
Gaia DR2 4800380218257303296,05 21 26.16,-44 08 28.78,DC:,7157.0,8.12,96.69
Gaia DR2 4800572426633509376,05 17 53.47,-43 42 03.39,DZ,7450.0,8.671,95.63
Gaia DR2 4800846724720035200,05 59 54.37,-47 50 15.04,DQ,7604.0,7.942,73.70
Gaia DR2 4801658503603445376,05 56 44.07,-44 34 03.30,DA,5569.0,8.231,54.61
Gaia DR2 4801666681221830016,05 55 19.74,-44 37 26.62,DC,6073.0,8.088,83.66
Gaia DR2 4802463384771540352,05 38 09.05,-44 20 24.30,DA,6178.0,8.15,50.15
Gaia DR2 4802772996077492224,05 45 24.87,-43 19 29.11,DA:,5357.0,8.107,79.69
Gaia DR2 4804209684114310784,05 54 28.03,-40 25 55.50,DA,13173.0,8.424,77.79
Gaia DR2 480423157556582912,05 53 07.52,66 29 25.22,DA,5890.0,8.441,61.42
Gaia DR2 4804450610303318528,05 43 50.45,-41 44 18.54,DA,5589.0,8.1,60.57
Gaia DR2 4804603137476824832,05 40 09.19,-41 43 43.31,DA,4598.0,7.874,93.93
Gaia DR2 4805197659735412224,05 45 27.22,-39 35 57.70,DA,5334.0,7.259,44.53
Gaia DR2 480525034180803456,05 48 36.68,66 28 54.08,DA,4336.0,7.825,96.11
Gaia DR2 4805535523338716416,05 34 48.16,-43 31 05.91,DA,9981.0,8.644,62.05
Gaia DR2 4805691447831511680,05 28 44.13,-43 04 49.81,DA,10537.0,8.69,38.33
Gaia DR2 4805782462481529600,05 29 12.04,-43 03 34.24,DA,12484.0,7.823,90.79
Gaia DR2 4805841492512121216,05 27 12.36,-42 41 26.71,DA,6313.0,8.073,78.78
Gaia DR2 4806409562067189120,05 30 51.49,-41 05 26.51,DA,5426.0,7.97,99.78
Gaia DR2 4806891972793668480,05 21 07.01,-41 36 54.97,DA:,6890.0,8.426,95.83
Gaia DR2 4808378482451035520,05 45 41.46,-38 41 51.97,DA,7033.0,8.337,65.07
Gaia DR2 4809367969900173696,05 37 01.79,-37 49 29.16,DA,6044.0,8.123,43.72
Gaia DR2 4809579385370846592,05 35 32.35,-37 24 58.75,DA,6880.0,8.12,88.14
Gaia DR2 4809736168856612608,05 37 04.90,-36 35 24.33,DA,5596.0,8.05,65.72
Gaia DR2 4810127835514087552,05 02 42.61,-47 13 10.68,DA:,7138.0,8.127,61.77
Gaia DR2 4810384644493052032,05 01 48.96,-45 22 20.16,DA:,5248.0,8.032,57.89
Gaia DR2 4810712058441496704,05 02 47.69,-45 24 08.27,DQ,7911.0,7.943,92.12
Gaia DR2 4810885948781229056,05 04 49.20,-44 12 11.44,DA,5981.0,8.071,74.32
Gaia DR2 4811148667637484032,04 59 35.19,-45 14 01.08,DA,8130.0,7.178,95.87
Gaia DR2 4811421896276768128,04 53 12.80,-44 23 39.77,DA,20871.0,7.986,89.56
Gaia DR2 4812589195372107392,05 05 08.64,-42 56 43.05,DA,5359.0,7.313,95.20
Gaia DR2 4813280341509519360,05 00 26.98,-42 34 05.74,DC:,5929.0,7.894,40.89
Gaia DR2 4813852637311869696,05 04 37.89,-40 46 23.51,DA:,4632.0,7.772,91.42
Gaia DR2 4814194349205967488,04 59 45.84,-39 53 44.50,DA,5795.0,8.203,41.75
Gaia DR2 4814802649717863296,04 42 51.10,-42 47 22.40,DA:,4875.0,7.983,50.54
Gaia DR2 4815000321292359296,04 46 24.29,-42 42 51.20,DA,7396.0,8.42,62.27
Gaia DR2 4815170921689260032,04 50 01.75,-41 26 05.24,DA,8791.0,8.515,95.84
Gaia DR2 4815192671404177280,04 45 38.04,-42 32 49.38,DAZ,6748.0,7.971,27.32
Gaia DR2 481522428669968256,05 55 45.15,67 58 27.33,DC,6603.0,8.324,93.43
Gaia DR2 4815892304396793088,04 32 40.93,-41 13 43.69,DA,7911.0,7.896,64.68
Gaia DR2 4816435909815730816,04 39 37.53,-39 48 41.07,DB,14927.0,7.953,72.29
Gaia DR2 4816685567676588160,04 51 47.61,-40 59 33.84,DA,4938.0,7.919,83.68
Gaia DR2 481698110012697728,05 37 14.83,67 59 49.53,DAH,7783.0,8.335,35.01
Gaia DR2 4817335653926806912,05 00 20.24,-38 53 13.26,DA,7204.0,7.337,69.64
Gaia DR2 4817623240640303744,04 59 54.35,-38 06 43.85,DA,6285.0,8.238,63.75
Gaia DR2 481814138550499456,05 59 04.56,68 58 15.06,DC:,4756.0,7.776,52.46
Gaia DR2 4818661488854223232,04 47 44.96,-37 10 25.20,DA,5901.0,8.016,90.69
Gaia DR2 4818814939446485888,04 51 24.17,-36 09 03.93,DA:,4503.0,7.742,89.49
Gaia DR2 4818830023370974336,04 52 50.90,-36 05 14.13,DA,5339.0,8.053,83.84
Gaia DR2 4819381535828530560,05 15 00.92,-39 16 27.88,DA,8379.0,7.88,73.08
Gaia DR2 4819765368465498752,05 19 01.30,-38 24 52.60,DA,6978.0,7.522,60.88
Gaia DR2 482131626832761216,04 51 37.20,64 59 33.42,,,,94.60
Gaia DR2 4821934528811716096,05 34 23.63,-35 15 29.75,DA:,4951.0,7.943,55.40
Gaia DR2 4822043831436262784,05 26 39.50,-35 35 58.34,DA,9885.0,7.415,89.73
Gaia DR2 4822565304889374720,05 18 33.23,-35 44 37.97,DA,5194.0,8.055,88.85
Gaia DR2 4823007896975577088,05 27 22.47,-34 27 44.98,DZ,4763.0,7.962,65.17
Gaia DR2 4823188629199342208,05 24 18.96,-34 00 07.98,DA,5593.0,8.337,68.52
Gaia DR2 4823629322907825920,05 06 14.34,-36 41 54.89,DC,6518.0,8.253,98.96
Gaia DR2 4823907052672454528,05 02 46.15,-35 59 12.65,DA:,5226.0,8.006,86.17
Gaia DR2 4823980204555432704,05 10 44.33,-36 21 26.37,DC:,5839.0,7.865,89.15
Gaia DR2 4824477737863466112,05 09 09.49,-34 23 35.22,DC:,5069.0,8.127,55.59
Gaia DR2 4824503640809474944,04 57 12.77,-36 49 55.25,DA,6236.0,8.38,91.60
Gaia DR2 4824616345047872896,04 58 16.81,-35 54 28.56,DA,10289.0,7.944,94.37
Gaia DR2 4824662554599582080,05 01 53.19,-35 53 23.28,DA,5167.0,7.98,95.74
Gaia DR2 4825513988916433536,05 06 04.60,-33 29 38.92,,,,87.54
Gaia DR2 4825557870598577792,05 01 41.16,-33 30 40.67,DC:,4899.0,7.974,54.94
Gaia DR2 482581327087778176,05 02 11.75,66 09 16.39,DA,6531.0,8.009,53.96
Gaia DR2 4826160746566128128,05 14 24.45,-33 01 41.90,DA,5837.0,8.098,97.97
Gaia DR2 4826160746568309376,05 14 24.07,-33 01 41.92,DA,8387.0,8.132,95.47
Gaia DR2 4826333610410599296,05 22 29.90,-33 08 44.45,DC,4934.0,7.935,53.99
Gaia DR2 4826659100212847872,05 21 51.42,-31 54 37.42,DA:,4503.0,7.813,87.24
Gaia DR2 4826777190337759232,05 11 27.85,-33 38 55.62,DC:,5309.0,8.006,79.76
Gaia DR2 4827319387009073408,05 13 50.34,-32 25 26.05,DA,5895.0,8.329,62.82
Gaia DR2 4827854849171661824,05 14 41.68,-30 11 44.37,DA,5764.0,7.502,80.78
Gaia DR2 4828042418983534976,04 02 57.66,-52 55 55.14,DA:,6759.0,8.398,82.60
Gaia DR2 4829340465475546880,03 43 47.38,-51 25 22.82,DAZ,6742.0,8.011,27.91
Gaia DR2 4829424608178391168,03 47 20.19,-51 01 39.14,DA,7562.0,8.072,93.66
Gaia DR2 4829542603814873216,03 47 08.22,-49 52 14.08,DA:,5321.0,8.003,70.36
Gaia DR2 4829673651857102848,03 53 37.14,-50 05 54.90,DA:,4805.0,8.335,56.40
Gaia DR2 4830151316645122816,04 09 24.06,-50 41 57.89,DA,5589.0,8.029,66.42
Gaia DR2 4830327272865901056,04 08 01.45,-49 55 53.71,DA,4822.0,8.034,58.36
Gaia DR2 4830535630318534272,04 06 57.00,-49 31 21.61,DA,6028.0,7.738,61.22
Gaia DR2 4830588750474538240,04 06 53.87,-48 54 28.20,DA,6066.0,7.984,83.97
Gaia DR2 4831461968865502464,03 59 39.14,-48 10 10.36,DC:,5139.0,7.761,80.93
Gaia DR2 4831580136301539456,03 56 25.45,-48 03 54.46,DA,7019.0,8.1,97.88
Gaia DR2 4831905935341104896,04 03 06.05,-47 15 21.57,DC:,5191.0,7.933,51.35
Gaia DR2 4832013614464913664,04 04 26.75,-46 46 21.11,DC:,5086.0,7.916,56.15
Gaia DR2 4832728851073708160,03 35 10.69,-49 42 08.88,DA,5112.0,8.025,79.38
Gaia DR2 4832981871892618624,03 46 54.19,-48 53 55.40,DA,5571.0,8.214,94.27
Gaia DR2 4833891614684676736,03 29 27.14,-47 38 39.29,DA,9433.0,7.928,74.57
Gaia DR2 4834017925379320832,03 31 31.21,-47 12 45.38,DA,10301.0,8.423,70.58
Gaia DR2 4834285858322963200,03 37 26.36,-46 33 57.80,DA,5702.0,8.125,99.40
Gaia DR2 4834487996663371776,03 37 12.23,-46 10 03.05,DA:,4286.0,7.694,45.28
Gaia DR2 4834644058595023104,03 51 06.24,-47 33 56.92,DA,6147.0,8.309,62.91
Gaia DR2 4835176260877427712,03 47 58.64,-45 05 11.90,CND,,,84.26
Gaia DR2 4835613003216896128,03 54 00.04,-44 37 49.70,DA:,6108.0,8.137,98.68
Gaia DR2 4835743299641276544,03 43 52.58,-46 21 20.91,DC,7109.0,8.05,93.91
Gaia DR2 4836129636243098496,03 39 11.22,-44 50 46.46,DA,5624.0,8.172,90.90
Gaia DR2 4837091399679740160,04 16 17.85,-46 36 30.08,DA:,6340.0,8.312,94.26
Gaia DR2 4837423353408638080,04 12 50.91,-45 10 10.59,DA,12417.0,7.908,53.76
