wdid,teff,logL,parallax,Dpc,G,BP,RP
Gaia DR2 2129645759761898240,9606.0,,11.02262199,90.72,17.382124,17.4463,17.282497
Gaia DR2 2153516874460962304,8249.0,,14.39663512,69.46,17.7253,17.912832,17.497307
Gaia DR2 2162041628635165824,9069.0,,13.4070686,74.59,17.012674,17.068123,16.904139
Gaia DR2 2166021860722175872,8588.0,,10.11934996,98.82,18.306572,18.450462,18.081137
Gaia DR2 2195006052383829120,4740.0,,11.2074546,89.23,19.61393,20.24763,18.993952
Gaia DR2 2205955474505148416,5148.0,,17.87165055,55.95,18.545166,19.006346,17.934052
Gaia DR2 2208870726506948992,4606.0,,12.78954467,78.19,19.66981,20.301538,19.053913
Gaia DR2 2224320853443995136,4443.0,,15.44002374,64.77,19.30506,19.993551,18.61073
Gaia DR2 2225247574244494592,7322.0,,11.87519888,84.21,18.741558,18.89729,18.416605
Gaia DR2 2225398718438581760,5127.0,,19.93994633,50.15,18.572815,19.088652,17.953266
Gaia DR2 2234815623212133760,8005.0,,10.79701281,92.62,18.265018,18.44394,18.013765
Gaia DR2 2241695439264955264,4572.0,,22.84841667,43.77,18.316322,19.079666,17.836582
Gaia DR2 2244128903314793600,7119.0,,15.61981891,64.02,17.856554,18.057787,17.539219
Gaia DR2 2306514505876413056,6693.0,,18.56550765,53.86,17.301208,17.480804,17.01434
Gaia DR2 2316586410343861504,6640.0,,15.11551333,66.16,17.960114,18.145853,17.679586
Gaia DR2 2321679618786073600,7158.0,,11.15653199,89.63,18.67049,18.928541,18.392288
Gaia DR2 2354779179389969920,6858.0,,11.87437087,84.21,18.703289,18.99575,18.31544
Gaia DR2 2355797228372762240,4675.0,,14.30442729,69.91,19.135931,19.678806,18.49699
Gaia DR2 2359225054657040512,7193.0,,14.45244689,69.19,18.14084,18.399208,17.795471
Gaia DR2 2379828081495681024,8066.0,,11.38784428,87.81,17.676613,17.790504,17.540102
Gaia DR2 2419860303430004736,8286.0,,16.15311952,61.91,17.555922,17.69506,17.30354
Gaia DR2 249816532255072384,4924.0,,15.83745912,63.14,18.919619,19.437483,18.281448
Gaia DR2 253391800472094464,4712.0,,11.31752107,88.36,19.608398,20.17508,18.983387
Gaia DR2 2579266674591294464,4852.0,,17.63830822,56.69,18.746168,19.28546,18.066484
Gaia DR2 2606979835105147520,4746.0,,12.94489673,77.25,19.2196,19.766306,18.615276
