wdid,teff,logL,parallax,Dpc,G,BP,RP
CBS 206,9413.0,,16.56953844,60.35,16.184816,16.257633,16.060667
CBS 289,16621.0,,10.96430021,91.21,16.735693,16.684456,16.861908
CBS 377,14578.0,,11.6692684,85.70,16.027596,15.991947,16.126617
CBS 54,11925.0,,14.38457608,69.52,15.89337,15.897491,15.927461
CD-32 5613,9086.0,-2.88,117.3961254,8.52,11.822395,11.900727,11.670317
CD-38 10980,24073.0,-1.34,77.45445301,12.91,11.0004,10.883363,11.231902
CPD-69 177,15866.0,-2.1,96.1833587,10.40,11.409583,11.357257,11.532214
CSO 1001,10040.0,,12.59097081,79.42,16.636433,16.690037,16.560751
CSO 1046,8838.0,,16.16201448,61.87,17.039343,17.140179,16.888794
CSO 1094,11146.0,,11.47001342,87.18,17.486246,17.543892,17.457438
CSO 300,14346.0,,10.44472993,95.74,16.939861,16.931065,17.01864
CSO 394,9963.0,,10.06918606,99.31,17.253597,17.307964,17.18626
CSO 672,8135.0,,16.77207449,59.62,17.31227,17.43769,17.08487
Cl* NGC 2682 MMJ 5440,11209.0,,12.82764628,77.96,17.034756,17.07284,17.030304
EC 10514-1447,20570.0,,10.02390001,99.76,16.342234,16.271353,16.52429
EC 11023-2810,17094.0,,13.48955184,74.13,16.465956,16.413485,16.615238
EC 12336-1625,24950.0,,14.97927734,66.76,15.081814,14.975234,15.314508
EGGR 105,4951.0,,27.4104824,36.48,17.889595,18.389997,17.261707
EGGR 111,14862.0,,13.25710359,75.43,15.510047,15.479695,15.620056
EGGR 112,9100.0,,17.52301017,57.07,16.27332,16.349474,16.113342
EGGR 117,9550.0,-3.27,44.91266293,22.27,15.072098,15.152491,14.923706
EGGR 118,30200.0,,21.43983391,46.64,13.399062,13.258436,13.683629
EGGR 120,9900.0,-2.81,32.7869517,30.50,14.616903,14.673201,14.526319
EGGR 126,8993.0,-2.89,38.75868769,25.80,14.54238,14.627473,14.379165
EGGR 128,9633.0,,20.2776698,49.32,15.567883,15.634367,15.464727
EGGR 130,13757.0,-2.26,29.64811046,33.73,14.09489,14.073446,14.169822
EGGR 134,17271.0,-1.54,21.37974077,46.77,14.07815,13.972868,14.076149
EGGR 140,16420.0,-2.27,51.09919525,19.57,13.339475,13.287881,13.468885
EGGR 155,10135.0,-3.18,56.0843704,17.83,14.370399,14.416492,14.301015
EGGR 156,13407.0,-2.49,21.96892082,45.52,17.15881,17.162346,17.170666
EGGR 161,9703.0,-2.93,34.31347519,29.14,15.317091,15.384303,15.205854
EGGR 162,12673.0,-2.38,53.76190381,18.60,12.966921,12.964135,13.007412
EGGR 167,11629.0,,11.67094896,85.68,16.390099,16.404282,16.39878
EGGR 171,7350.0,-3.41,24.01779345,41.64,16.281052,16.307358,15.827091
EGGR 174,14620.0,,19.16774935,52.17,14.920403,14.889117,15.012303
EGGR 177,12016.0,,14.35988811,69.64,15.311242,15.2927685,15.403349
EGGR 183,6653.0,-3.52,33.91224706,29.49,15.918681,16.142178,15.539436
EGGR 185,16053.0,-2.04,31.91490984,31.33,13.706892,13.662728,13.830788
EGGR 188,12850.0,-1.93,20.38519471,49.06,14.1144085,14.094177,14.179741
EGGR 195,15543.0,,15.50498025,64.50,15.053056,14.999677,15.177515
EGGR 196,7321.0,-3.65,32.21088861,31.05,15.618313,15.770098,15.304891
EGGR 23,10163.0,,21.08538278,47.43,15.456816,15.5047455,15.381388
EGGR 253,7806.0,,21.61459256,46.27,15.281872,15.426645,15.026518
EGGR 259,6709.0,-3.64,21.92200667,45.62,16.811203,17.007336,16.460653
EGGR 271,25989.303079123525,-1.28,10.76646039,92.88,15.662348,15.553942,15.901537
EGGR 284,18800.0,,21.25847122,47.04,14.166185,14.09374,14.306905
EGGR 29,15512.0,,19.98560446,50.04,15.356008,15.319015,15.463328
EGGR 298,7342.0,-3.33,34.99748089,28.57,15.498116,15.661727,15.198938
EGGR 30,12987.0,-2.16,29.31674547,34.11,14.224764,14.217229,14.27819
EGGR 302,7630.0,-3.43,36.8106913,27.17,15.512921,15.664788,15.243949
EGGR 31,19637.0,,23.04334319,43.40,13.886915,13.7993555,14.080598
EGGR 311,12469.0,,20.98275739,47.66,14.983366,14.982779,15.016867
EGGR 314,17351.0,-2.06,34.67004916,28.84,13.870577,13.808655,14.00904
EGGR 317,8537.0,-3.16,23.16958739,43.16,15.886988,15.998761,15.689885
EGGR 324,8278.0,-3.49,33.96408152,29.44,15.913537,16.027702,15.6966305
