wdid,teff,logL,parallax,Dpc,G,BP,RP
NLTT 33455,7695.0,,11.87080574,84.24,17.662144,17.77248,17.473684
NLTT 54596,5875.0,-4.06,16.35492136,61.14,17.943913,18.248007,17.494
PG 0913+104,8512.0,-3.25,25.90297891,38.61,15.743719,15.812485,15.606804
PM J12476+0646,4685.0,-4.06,19.22914002,52.00,18.813498,19.44143,18.076006
SDSS J005505.42+085030.5,6676.0,,11.51313557,86.86,18.369453,18.570395,18.063639
SDSS J011639.84+234644.4,8045.0,,11.30719437,88.44,17.69516,17.802294,17.523102
SDSS J024802.27+340802.4,6043.0,,12.84221458,77.87,18.460215,18.762846,17.997799
SDSS J075230.92+444750.1,8990.0,,14.13015319,70.77,16.863993,16.919123,16.754818
SDSS J080455.42+171443.6,5361.0,,14.91542607,67.04,18.490076,18.823572,17.862751
SDSS J080558.83+072447.8,5388.0,,13.07654928,76.47,18.94274,19.403301,18.388103
SDSS J083231.57-040807.8,6701.0,,12.08082103,82.78,18.448576,18.654926,17.961988
SDSS J084131.55+332915.6,6650.0,,12.96822839,77.11,18.436111,18.42481,17.9649
SDSS J084531.38+614336.4,7961.0,,13.04319215,76.67,17.428879,17.532806,17.261034
SDSS J090632.17+470235.8,5540.0,,11.50624348,86.91,19.447596,20.103638,18.725811
SDSS J092613.45+472521.1,7011.0,,10.66691936,93.75,18.2417,18.385954,17.961134
SDSS J092909.03+331011.7,6429.0,,11.549981,86.58,18.413319,18.69014,17.909872
SDSS J094014.65+090641.8,6160.0,,11.12542581,89.88,18.576159,18.847534,18.167624
SDSS J102705.07+121836.0,7112.0,,10.28911729,97.19,18.464529,18.569092,18.218208
SDSS J102801.74+351257.9,5924.0,,13.65043716,73.26,18.70741,19.171293,18.14174
SDSS J110759.46+405910.8,6853.0,,18.38837766,54.38,17.080574,17.216085,16.799158
SDSS J110831.47+134950.7,7401.0,,11.054339,90.46,18.018482,18.13997,17.819477
SDSS J110912.21+424956.0,8916.0,,11.67348564,85.66,17.345423,17.399096,17.26412
SDSS J114006.35+182402.3,10111.0,,10.6201155,94.16,17.948763,17.991129,17.90595
SDSS J114136.53+383611.9,5857.0,,12.57014662,79.55,19.052828,19.581303,18.367369
SDSS J120049.38+423726.1,6198.0,,10.49884991,95.25,18.95136,19.234594,18.56286
SDSS J120154.70+340055.9,6094.0,-3.7,24.60549477,40.64,17.325068,17.583382,16.839825
SDSS J121211.03+545222.6,8138.0,,10.57005441,94.61,17.812204,17.9047,17.652184
SDSS J123534.86+391820.4,9082.0,,12.6571327,79.01,17.154331,17.180502,17.047176
SDSS J124926.17+280058.3,7468.0,,10.37119377,96.42,18.412716,18.569094,18.214823
SDSS J131640.71+081058.6,6733.0,,11.43013886,87.49,18.363894,18.545008,18.03482
SDSS J133205.63+274003.9,8303.0,,13.88197532,72.04,17.143772,17.230665,17.000004
SDSS J135532.73+455319.1,8081.0,,10.13360658,98.68,17.902485,17.982277,17.741821
SDSS J140641.03+340200.3,6817.0,,10.05607573,99.44,17.75401,17.912039,17.484205
SDSS J144006.80+095835.4,8209.0,,13.73716811,72.80,17.23622,17.317076,17.08956
SDSS J145725.27+210747.3,5768.0,,11.90386263,84.01,18.705761,19.070534,18.256617
SDSS J145731.12+333127.1,8671.0,,10.84840044,92.18,17.453382,17.512197,17.348598
SDSS J150126.78+210056.9,5724.0,,10.95639334,91.27,18.21274,18.584156,17.687656
SDSS J151734.42+225618.7,7318.0,,12.60378285,79.34,17.749887,17.888014,17.54406
SDSS J155155.26+082431.7,6765.0,,13.99302012,71.46,17.85264,18.054869,17.549335
SDSS J160935.86+065511.9,6721.0,,11.61319701,86.11,17.892939,18.028288,17.607786
SDSS J161653.36+392444.4,7328.0,,10.72429302,93.25,18.181545,18.333012,17.979733
SDSS J161847.38+061155.2,8259.0,,12.77455578,78.28,18.215816,18.304205,18.073109
SDSS J162004.03+180912.6,7821.0,,10.09204858,99.09,18.01045,18.127783,17.816881
SDSS J162236.21+300455.0,15878.0,,13.38887964,74.69,17.066494,16.979721,17.231743
SDSS J164143.31+483301.6,7645.0,,10.81072234,92.50,18.01106,18.139488,17.758938
SDSS J165436.86+315754.4,7156.0,,15.73779045,63.54,17.38318,17.533165,17.14394
SDSS J180302.57+232043.3,4230.0,,14.90272934,67.10,19.166016,19.737272,18.108139
SDSS J183500.21+642917.0,6538.0,,18.82911092,53.11,17.2495,17.441177,16.857117
SDSS J211130.04-003628.7,7012.0,,10.94874785,91.33,18.165874,18.319056,17.910482
SDSS J215652.94+055925.1,6547.0,,10.25666889,97.50,18.538902,18.740694,18.266294
SDSS J221850.23+212303.7,7939.0,,10.30376442,97.05,17.878328,17.994625,17.720854
SDSS J230249.37+243027.9,6615.0,,13.67297791,73.14,17.948965,18.147303,17.644314
USNO-B1.0 0948-00255808,5777.0,,14.85446315,67.32,18.282309,18.642025,17.81361
USNO-B1.0 0977-00289412,8016.0,,14.23522536,70.25,17.235344,17.318785,17.067314
WD 0003+177,7405.0,,17.42445071,57.39,16.96068,17.088305,16.749651
WD 0016+022,9313.0,,13.15692512,76.01,17.071184,17.125013,16.976994
WD 0029-449,8519.0,,15.0213459,66.57,16.835142,16.896952,16.725416
WD 0030+145,5821.0,,15.53623882,64.37,18.147875,18.464256,17.691925
