wdid,teff,logL,parallax,Dpc,G,BP,RP
Gaia DR2 1453676525085505408,7149.0,,12.60465704,79.34,17.957636,18.105173,17.68677
Gaia DR2 145429108768875008,8079.0,,22.99772762,43.48,16.47273,16.565754,16.281
Gaia DR2 1456907504427822464,5165.0,,11.47886888,87.12,19.172907,19.648134,18.675941
Gaia DR2 1458210842321624448,5155.0,,11.40103944,87.71,19.413315,19.85232,18.888678
Gaia DR2 1461469893567499904,4313.0,,10.5891104,94.44,19.884975,20.476942,19.217499
Gaia DR2 1464837457164974976,4688.0,,10.78620656,92.71,19.837315,20.406906,19.247868
Gaia DR2 1470240530320055680,4956.0,,17.64695871,56.67,18.744043,19.210356,18.10848
Gaia DR2 1470926586919626880,5121.0,,18.57690546,53.83,18.327126,18.656454,17.843042
Gaia DR2 147448842907369216,8488.0,,13.95348754,71.67,17.214912,17.314346,17.046041
Gaia DR2 1484845034034212224,7971.0,,11.81040711,84.67,18.25123,18.400568,18.046614
Gaia DR2 1485449383176277248,4520.0,,12.55136317,79.67,19.587868,20.220444,18.8981
Gaia DR2 14862584004642688,6481.0,,20.48267009,48.82,17.491564,17.695099,17.188412
Gaia DR2 1486484367214724992,6457.0,,13.51268177,74.00,17.995224,18.213127,17.663504
Gaia DR2 1486537113709628672,5089.0,,11.79580918,84.78,19.332687,19.736456,18.804384
Gaia DR2 1486801267085903488,5780.0,,10.9395279,91.41,19.133224,19.468472,18.67834
Gaia DR2 14895255820376064,5894.0,,10.33397677,96.77,18.950825,19.234785,18.543911
Gaia DR2 1491559506730816384,6221.0,,10.5673164,94.63,19.249218,19.492935,18.931192
Gaia DR2 1494564162771398016,5693.0,,11.30926388,88.42,19.06529,19.38742,18.657915
Gaia DR2 149884909703520000,5861.0,,11.27992754,88.65,18.972755,19.27795,18.508215
Gaia DR2 1499290379143445760,6231.0,,12.66882799,78.93,18.335314,18.535156,18.01804
Gaia DR2 1503203059990907648,6019.0,,11.77820815,84.90,18.711132,18.944597,18.318153
Gaia DR2 1509745124111150848,5367.0,,11.45660705,87.29,19.081038,19.427534,18.650394
Gaia DR2 1524205557443256192,4584.0,,24.19245468,41.34,17.955225,18.493496,17.262802
Gaia DR2 153007870619276032,7632.0,,16.42614499,60.88,17.38351,17.542208,17.11175
Gaia DR2 1531580424311162880,5447.0,,14.09654219,70.94,18.532934,18.856571,18.06361
Gaia DR2 1541891816154999168,5143.0,,10.07484395,99.26,19.974762,20.4117,19.53105
Gaia DR2 154198607352612480,10327.0,,11.32279557,88.32,17.061026,17.091908,17.001411
Gaia DR2 154230836785464960,4806.0,,20.10465479,49.74,18.383417,18.901377,17.719736
Gaia DR2 1542850487215495168,5090.0,,11.02892049,90.67,19.687912,20.121138,19.071484
Gaia DR2 1551097000517516288,4806.0,,12.39081876,80.70,19.36343,19.972832,18.6959
Gaia DR2 1551279240274526208,5118.0,,14.8540295,67.32,18.910038,19.356598,18.369911
Gaia DR2 1551761857160285312,6077.0,,10.5112558,95.14,19.04198,19.278122,18.699932
Gaia DR2 1556162240133919744,5058.0,,11.9362339,83.78,19.36865,19.923893,18.748554
Gaia DR2 1556577584947193856,10256.0,,11.29963913,88.50,17.092428,17.108158,17.024591
Gaia DR2 1558885180679234304,4917.0,,10.57397929,94.57,19.560392,19.967098,19.009867
Gaia DR2 1563260687202320256,9743.0,,13.42103051,74.51,16.79696,16.84094,16.738415
Gaia DR2 1563853976804546688,5811.0,,10.52299292,95.03,19.221245,19.587284,18.803314
Gaia DR2 1564321200527368704,5114.0,,14.48719246,69.03,19.478857,19.93921,18.876947
Gaia DR2 1566020598826667904,5677.0,,11.71547669,85.36,19.200384,19.492643,18.722649
Gaia DR2 1574853491129437440,6503.0,,10.6866843,93.57,18.65171,18.885807,18.366213
Gaia DR2 1578256136019422080,5978.0,,10.13071973,98.71,19.149555,19.369421,18.690739
Gaia DR2 1578585611551014528,5529.0,,15.48055476,64.60,18.59238,18.899265,18.119867
Gaia DR2 1587405000476135168,4898.0,,11.89460591,84.07,19.239723,19.624092,18.693197
Gaia DR2 158800402816375552,5075.0,,16.5761532,60.33,18.644493,19.181541,18.035751
Gaia DR2 158800402816378240,5041.0,,16.1993079,61.73,18.67442,19.204662,18.06585
Gaia DR2 1594422496000994048,5352.0,,10.59925931,94.35,19.292078,19.593071,18.764702
Gaia DR2 1596808642391186560,5133.0,,12.44676681,80.34,19.1206,19.547812,18.636808
Gaia DR2 1597468108851256192,5858.0,,10.95757917,91.26,19.328491,19.569794,18.934366
Gaia DR2 1599832161929255424,4588.0,,14.42195379,69.34,19.33399,19.91528,18.627419
Gaia DR2 1601489813146914176,5081.0,,10.91781271,91.59,19.671375,20.148344,19.140694
Gaia DR2 1603370081109395200,5621.0,,10.51766337,95.08,18.902725,19.212158,18.479204
Gaia DR2 1604224470364124416,4501.0,,16.5666879,60.36,19.16302,19.786337,18.445925
Gaia DR2 1605951944865784960,6446.0,,11.05055235,90.49,18.79942,18.9878,18.451416
Gaia DR2 161053615673941248,4794.0,,12.64585298,79.08,20.013998,20.12172,19.781765
Gaia DR2 1620047374696579968,10306.0,,10.47934611,95.43,17.658731,17.70114,17.581
Gaia DR2 1624458370533212416,5653.0,,12.67534993,78.89,18.993149,19.390951,18.508614
Gaia DR2 1624733561973468928,5927.0,,13.80676569,72.43,18.50748,18.723421,18.167433
Gaia DR2 1626445600362602240,4457.0,,23.59694706,42.38,18.35665,18.95744,17.629154
Gaia DR2 162653160663515008,3777.0,,23.54491364,42.47,18.650576,19.358286,17.837683
Gaia DR2 1632819404844402816,4998.0,,23.76817154,42.07,17.975315,18.405827,17.32321
Gaia DR2 163866883676876288,6443.0,,13.06541578,76.54,18.517624,18.758223,18.118986
Gaia DR2 165401149074789504,7053.0,,10.16272048,98.40,18.552675,18.715786,18.30265
Gaia DR2 1658818319354849536,6560.0,,13.33184663,75.01,18.650824,18.839174,18.285784
Gaia DR2 16599361404800256,5144.0,,14.12456469,70.80,18.883528,19.362839,18.259295
