,source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,M_G,bp_rp,ra2,dec2,u_mag,u_mag_error,g_mag,g_mag_error,r_mag,r_mag_error,i_mag,i_mag_error,z_mag,z_mag_error,clean_flag,ra3,dec3,g_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag,r_mean_psf_mag_error,i_mean_psf_mag,i_mean_psf_mag_error,z_mean_psf_mag,z_mean_psf_mag_error,y_mean_psf_mag,y_mean_psf_mag_error,sdssdr9_oid
4011,1376326912864142336,236.52226060434174,37.85769920586022,26.677641749444703,0.019145915,-71.35163279227405,0.018331354,13.636409401336513,0.02281921,14.490988,1720.3379,14.478558,974.95886,14.546622,797.15924,11.621724958567206,-0.06806469,236.52257053478908,37.857654476589175,14.783808,0.015853673,14.386436,0.014356714,14.622885,0.015174392,14.83594,0.016307237,15.079209,0.013377508,1,236.52234,37.85768,14.3858003616333,0.00217900006100535,14.625599861145,0.000919000012800097,14.8647003173828,0.00154900003690273,15.0968999862671,0.00334200006909668,15.2210998535156,0.00398800009861588,354617367
4012,1500607765872799616,206.3862133954136,42.01269695363135,26.688730792614344,0.058675405,-193.89363651821645,0.042280965,127.77445128452518,0.05740862,17.045164,1916.9423,17.600191,177.92271,16.348473,295.2709,14.176803713281643,1.2517185,206.38713998316936,42.01226658867318,19.698713,0.03392439,17.854527,0.017861934,17.010242,0.014532814,16.687729,0.01802899,16.536282,0.011065306,1,206.38629,42.01266,,,17.0153007507324,0.00779600022360682,16.709400177002,0.00305299996398389,,,,,377032345
4013,1348795004265872000,263.51794884093624,44.383892252395775,26.691153911189527,0.0791304,-75.57288850466284,0.08517167,-67.365105940514,0.106176786,17.702011,940.46716,18.151043,97.13905,17.095175,126.96472,14.833847856397325,1.0558681,263.51826798281536,44.384110530238935,19.87353,0.033441357,18.31663,0.010878139,17.65802,0.011376038,17.425869,0.012348201,17.334433,0.019107379,1,263.51797,44.383923,18.2381000518799,0.00543599994853139,17.6623992919922,0.00931300036609173,17.4463996887207,0.00369299994781613,17.3528003692627,0.00556600000709295,17.3362007141113,0.00818600039929152,388955622
4014,1313405848136604672,254.91549115855923,32.05460572684259,26.714809434811368,0.063389555,-240.18584666504466,0.06255653,-242.33585716725207,0.069043465,17.346334,1431.7589,17.6111,154.75908,16.949463,198.69676,14.48009486024755,0.66163635,254.91663932134617,32.05559811993025,18.362993,0.019995496,17.661892,0.013951373,17.356579,0.013013895,17.264223,0.013625437,17.26496,0.016052978,1,254.9158,32.054874,17.6072006225586,0.00471400003880262,17.3603000640869,0.00705899996683002,17.2702007293701,0.00410800008103251,17.273099899292,0.00333300000056624,17.286600112915,0.00867300014942884,322427968
4015,1537794524729363712,180.0122629647871,43.59473819694021,26.785972553070913,0.041921157,-292.39075440948795,0.036301535,-40.34361578329739,0.036438905,15.701427,1959.3458,15.838727,395.07028,15.450812,415.18027,12.84096455715966,0.38791466,180.01368050284262,43.594874703250674,16.325182,0.030325534,15.863781,0.02449349,15.769413,0.01493576,15.777085,0.022501165,15.860098,0.011679808,1,180.01276,43.594784,15.8247995376587,0.00384499994106591,15.7622995376587,0.00307699991390109,15.7997999191284,0.0120500000193715,15.8627004623413,0.00313899992033839,15.927300453186,0.0064460001885891,384971438
4016,1531097433767946240,193.77814660893796,46.92140693527259,26.838608124499046,0.13130942,-1092.1554811624696,0.09068969,-113.12702489319761,0.11238584,18.395765,983.8263,18.912504,62.47351,17.688694,70.58001,15.539565250365433,1.2238102,193.783841172401,46.92181653317568,20.84516,0.08041328,19.260933,0.028618906,18.341732,0.02435346,18.07291,0.028832583,17.89607,0.028017174,1,193.78085,46.9216,,,,,18.0226001739502,0.025415999814868,,,17.8549995422363,0.00740699982270598,401037628
4017,639665392247496576,147.02475799718883,20.387622889194727,26.87858435928395,0.119648665,-195.7328612520916,0.12213762,10.825585849968723,0.08762247,17.803139,1245.7107,18.301605,85.77583,17.157778,137.32396,14.950170690767509,1.1438274,147.02540147423693,20.38759625635247,20.479818,0.049700588,18.536104,0.017024808,17.784224,0.02271801,17.44423,0.024127169,17.340675,0.020984571,1,147.02484,20.387613,18.4269008636475,0.00697299977764487,17.7640991210938,0.0109449997544289,17.4885997772217,0.00428699981421232,17.382999420166,0.00727399997413158,17.3346996307373,0.0113620003685355,237598800
4018,3160815489969826944,104.79534998299148,12.423512058933067,27.045123926823567,0.108227625,21.19933470998416,0.11875689,-117.38176422594029,0.10148427,17.568457,838.8238,18.067194,81.03214,16.948772,144.1619,14.72890152886709,1.1184216,104.79530118162734,12.423727529467008,19.879421,0.032636154,18.238655,0.01449854,17.518997,0.007840561,17.26571,0.009437329,17.144747,0.014162887,1,104.79535,12.423549,18.1438999176025,0.0037599999923259,17.543399810791,0.00365300010889769,17.2996997833252,0.00332999997772276,17.2243003845215,0.00635700020939112,17.1826992034912,0.00654800003394485,176745495
4019,1892992267183979776,329.4998751667885,27.090221473908173,27.050299199005078,0.1139696,350.302121352594,0.120613396,354.41917366165023,0.13199025,17.826399,913.2715,18.434603,70.06361,17.125002,98.05266,14.98725921513985,1.3096008,329.49919225268474,27.089606105899755,20.657196,0.06864991,18.686678,0.012308708,17.795092,0.013080257,17.522396,0.0136420885,17.296734,0.021899529,1,329.49936,27.089752,18.5548992156982,0.00446499977260828,17.7856998443604,0.00448099989444017,17.4654006958008,0.0041260002180934,17.3568000793457,0.00771600008010864,17.2703990936279,0.0125529998913407,288462109
4020,2747384888699406080,6.761796522607595,5.907399733355646,27.05671447191263,0.15803143,-92.40195820661975,0.17237084,-422.5852911873301,0.14365943,18.015127,756.65454,18.508804,44.725796,17.428293,90.78729,15.17650247492069,1.0805111,6.762001464680509,5.908258142932782,20.336857,0.060425688,18.67798,0.0149913225,17.957785,0.023901334,17.678846,0.01949274,17.69123,0.02602323,1,6.7619257,5.9079823,18.5648994445801,0.00699600018560886,17.9465007781982,0.0110120000317693,17.7091007232666,0.00404600007459521,17.7366008758545,0.00507899979129434,17.8957996368408,0.0131149999797344,124133775
4021,39387328302768640,60.67688404539383,15.461932050780026,27.078319144684027,0.07478206,60.24394193525325,0.09011526,30.482973526698014,0.04985003,16.62413,1602.1537,16.80051,318.9866,16.329279,258.30664,13.787238761636116,0.47123146,60.67673527388928,15.461853171182906,17.327316,0.017724995,16.817911,0.0136316,16.649595,0.01428512,16.645052,0.013622718,16.692225,0.02055466,1,60.67686,15.461921,16.7999000549316,0.00409599998965859,16.6594009399414,0.00370000000111759,16.6599998474121,0.00279700011014938,16.736400604248,0.00687200017273426,16.7872009277344,0.00716699985787272,200360154
4022,3870354528331257984,160.08163104253396,10.066357453067695,27.114772375892723,0.0746853,-97.54880269404114,0.083246805,-118.68438483913665,0.0629245,17.078417,1156.5198,17.358036,115.11607,16.63316,140.48164,14.244446639116745,0.7248764,160.08200702906043,10.066803836656065,18.180267,0.017922144,17.42871,0.013069571,17.068306,0.014731254,16.9519,0.015609945,16.941547,0.016846929,1,160.08167,10.066408,17.3910007476807,0.0040710000321269,17.0776996612549,0.0027560000307858,16.9794006347656,0.00237699993886054,16.9813995361328,0.00445500016212463,16.9895992279053,0.00763799995183945,158809616
4023,1202826348825240832,238.10918727468706,18.172376926575854,27.12155147242134,0.031849384,-154.78083950575106,0.027099106,116.72803728254044,0.02622018,14.815782,1329.4331,14.790701,681.74335,14.907959,681.4216,11.98235424065463,-0.11725807,238.1097056624548,18.171988303915224,14.943285,0.013059407,14.692269,0.010212453,16.070757,0.0028694777,15.179312,0.009969133,15.455672,0.014498527,0,238.10925,18.17233,14.7258996963501,0.00495600001886487,14.9610004425049,0.00116300000809133,15.2230997085571,0.00334600009955466,15.4495000839233,0.0039240000769496,15.5979995727539,0.00485200015828013,221011629
4024,303637562009656704,26.298410242466307,31.54478112929289,27.30902701289611,0.16177794,308.6986420535783,0.17487372,-147.36672461101136,0.15796046,14.744703,1610.3245,14.83223,593.68835,14.580841,693.61145,11.926234428027625,0.25138855,26.297777320063574,31.545040283974732,15.268171,0.016373476,14.810976,0.01648268,14.805657,0.021797039,14.908624,0.015939796,15.092239,0.026934436,1,26.298018,31.54494,14.811900138855,0.00442400015890598,14.8200998306274,0.00374200008809567,14.9097003936768,0.00191800005268306,15.0319004058838,0.00168099999427795,15.118800163269,0.00278300000354648,319291100
4025,3790040465258127616,169.56038025859314,-3.233870248596468,27.330208302296185,0.03492106,-536.2789454132694,0.041562855,227.727300650963,0.028281728,15.284625,1714.314,15.316311,672.52313,15.156566,276.1884,12.467839762215398,0.15974522,169.562590037275,-3.234817366472927,15.419649,0.012402503,15.2885685,0.017395733,15.368651,0.012343999,15.485889,0.015233175,15.708691,0.0150529975,1,169.561,-3.234136,15.3127002716064,0.00386400008574128,15.3709001541138,0.00310200010426342,15.5331001281738,0.00427500018849969,15.7079000473022,0.00283599994145334,15.811900138855,0.0047889999113977,45116527
4026,1875613386395668864,337.392590451659,23.46073542826302,27.370349864309038,0.121011555,223.8516236019354,0.1069596,-224.26432929607242,0.123615064,17.806133,861.29175,18.278994,77.21565,17.187376,109.75673,14.992535014560858,1.0916176,337.3918184041644,23.46143331036909,20.108961,0.05816488,18.491297,0.024939746,17.780935,0.01892604,17.539255,0.019907504,17.440954,0.023048224,1,337.3923,23.46101,18.3609008789063,0.00720300013199449,17.7870998382568,0.00527699990198016,17.5293998718262,0.00371200009249151,17.43630027771,0.00516400020569563,17.4181003570557,0.0052869999781251,260732997
4027,2208530698238308736,345.23440338625664,64.13724682874657,27.396659829888286,0.08694685,-82.3999609646788,0.10064895,-116.64333400707116,0.0862771,17.936281,945.4943,18.547552,63.36028,17.247671,102.45419,15.124769290976417,1.299881,345.23507774144446,64.13764708121015,20.64568,0.06982798,18.79669,0.016406212,17.883017,0.008961691,17.565958,0.0101252245,17.378843,0.018888813,1,345.2345,64.13729,18.681999206543,0.00734099978581071,17.9190006256104,0.00284299999475479,17.5948009490967,0.00623199995607138,17.4673004150391,0.00670500006526709,17.4262008666992,0.00981900002807379,455228915
4028,1306197930941817984,253.9123765651336,25.562076653885956,27.40347397821024,0.053342175,49.004928214790546,0.048620444,-196.1370583471617,0.051722288,16.965006,1259.1627,17.0061,195.83939,16.932602,237.66609,14.15403398689832,0.07349777,253.912186643876,25.562783983822772,17.181824,0.015748689,16.941015,0.01336516,17.061804,0.011944501,17.21373,0.011845596,17.395092,0.018595304,1,253.91235,25.562164,16.9472007751465,0.00313999992795289,17.0753002166748,0.00312600005418062,17.2252998352051,0.00194300001021475,17.4050006866455,0.00784400012344122,17.5617008209229,0.0110729997977614,276997130
