wdid,teff,logL,parallax,Dpc,G,BP,RP
Gaia DR2 510991333164269696,13126.0,,12.44134029,80.38,15.613708,15.539001,15.721117
Gaia DR2 513318720101615232,10662.0,,10.74358297,93.08,16.938156,16.942389,16.920341
Gaia DR2 5135564379479141760,10604.0,,14.29427879,69.96,17.187136,17.207573,17.14105
Gaia DR2 5203220667126889728,11039.0,,19.72186572,50.71,15.363903,15.3153715,15.244366
Gaia DR2 5232335666323917824,11526.0,,11.03066297,90.66,16.759235,16.766552,16.750006
Gaia DR2 5240990639592096768,11872.0,,11.60455844,86.17,16.8276,16.822975,16.837858
Gaia DR2 5243591401210032000,12689.0,,11.67905549,85.62,17.67557,17.66411,17.741297
Gaia DR2 5245657246123148672,14239.0,,10.56916115,94.61,17.888557,17.818542,17.885605
Gaia DR2 5316873301451443840,14344.0,,12.41769631,80.53,16.23742,16.197767,16.317446
Gaia DR2 5334344128917869568,21205.0,,13.16276158,75.97,14.9846325,14.890914,15.161328
Gaia DR2 5395968560168183040,17055.0,,12.02771112,83.14,17.303238,17.23465,17.324928
Gaia DR2 5398197953138121088,11493.0,,10.3326187,96.78,17.390684,17.388493,17.408396
Gaia DR2 5422144977092149632,15283.0,,23.24074736,43.03,15.932431,15.854953,16.050028
Gaia DR2 5451718713141351296,12672.0,,10.08727518,99.13,16.714443,16.675024,16.67548
Gaia DR2 547179765520150912,17201.0,,10.89042405,91.82,16.1985,16.132738,16.320091
Gaia DR2 5493341000690701824,14167.0,,10.21779953,97.87,17.297426,17.25319,17.357845
Gaia DR2 5550706714197581824,13388.0,,13.77918688,72.57,15.944522,15.913842,16.000444
Gaia DR2 5564932779755854976,14154.0,,14.88358073,67.19,15.601738,15.558578,15.664375
Gaia DR2 5631727733184669440,11864.0,,21.29792253,46.95,14.932706,14.896825,14.981729
Gaia DR2 5657351404992422784,14138.0,,11.95634119,83.64,15.580779,15.508501,15.703041
Gaia DR2 5663381745233661440,11254.0,,15.43015461,64.81,16.161785,16.162872,16.134111
Gaia DR2 5699818014397825792,13537.0,,11.0338858,90.63,15.95781,15.89691,16.063265
Gaia DR2 5719723160586005888,14109.0,,11.40777576,87.66,16.23353,16.173738,16.339706
Gaia DR2 5771109077026366464,13417.0,,10.46379586,95.57,16.93598,16.917028,16.994112
Gaia DR2 5812676526434412928,14295.0,,18.73334785,53.38,16.598757,16.557137,16.676281
Gaia DR2 5858251111664034304,13352.0,,11.52003065,86.81,17.491417,17.453722,17.465761
